2,2.732,5.089,6.991,6.467
2,2.648,4.958,6.855,6.457
2,2.582,4.812,6.644,6.11
2,2.381,4.756,6.377,6.091
2,2.376,4.569,6.471,6.195
2,2.69,4.438,6.377,6.246
2,2.353,4.339,6.204,6.223
2,2.488,4.002,6.312,6.518
2,2.451,3.974,6.035,6.204
2,2.516,3.861,5.918,6.232
2,2.638,3.617,5.805,6.349
2,2.488,3.383,5.707,6.293
2,2.685,3.215,5.539,6.274
2,2.802,3.491,5.361,6.326
2,2.995,2.751,5.3,6.415
2,3.009,2.264,5.178,6.321
2,3.107,2.343,5.122,6.415
2,3.238,2.198,5.136,6.453
2,3.36,1.903,5.056,6.593
2,3.603,1.791,4.943,6.593
2,3.711,1.819,5.089,6.841
2,3.96,1.978,5.276,6.869
2,4.021,1.978,5.374,7.211
2,4.264,2.029,5.463,7.365
2,4.348,2.282,5.833,7.614
2,4.597,2.479,6.054,7.755
2,4.859,2.709,6.18,8.04
2,5.094,2.971,6.747,8.467
2,5.291,3.14,6.715,8.575
2,5.407,3.117,6.701,8.743
2,5.609,3.103,6.635,8.771
2,5.969,3.163,6.677,8.86
2,6.091,3.304,6.649,9.001
2,6.195,3.168,6.963,9.029
2,6.345,3.285,6.583,9.175
2,6.518,3.407,6.715,9.343
2,6.56,3.379,6.588,9.395
2,6.597,3.369,6.532,9.198
2,6.644,3.412,6.546,9.282
2,6.715,3.215,6.471,9.179
2,6.616,3.121,6.223,9.067
2,6.434,2.77,5.693,8.799
2,6.241,2.582,5.388,8.5
2,6.12,2.507,5.136,8.139
2,4.016,1.908,2.02,4.864
2,4.208,2.165,1.777,4.634
2,3.95,2.962,1.496,3.918
2,3.744,2.892,1.431,3.608
2,3.496,3.009,1.656,3.496
2,3.201,3.014,1.889,3.322
2,3.051,3.177,2.727,3.332
2,2.882,3.322,2.386,3.07
2,2.723,3.416,2.601,2.967
2,2.521,3.458,2.741,2.938
2,2.254,3.627,2.967,2.957
2,2.071,3.805,3.158,2.826
2,1.866,3.875,3.369,3.117
2,1.683,3.918,3.547,2.84
2,1.482,4.119,3.767,2.976
2,1.37,4.269,3.988,3.117
2,1.287,4.372,4.251,3.186
2,1.207,4.484,4.503,3.538
2,1.184,4.681,4.737,3.847
2,1.212,4.765,4.934,3.932
2,1.175,4.784,5.094,3.903
2,1.189,4.836,5.244,4.016
2,1.273,4.934,5.524,4.218
2,1.282,4.906,5.567,4.391
2,1.313,4.831,5.754,4.662
2,1.614,4.817,5.801,4.981
2,1.585,5.492,5.894,5.253
