x_val,y_val,z_val,tag
1.10797,12.7444,0.667553,0
1.28481,12.7904,0.640287,0
1.43793,12.4586,0.50548,0
1.67465,12.4171,0.393902,0
1.66597,12.6833,0.715658,0
2.00552,12.717,0.239167,0
2.06073,12.7623,0.536895,0
2.22434,13.2864,0.980982,0
2.41194,12.8764,0.541326,0
2.62018,12.9134,0.447783,0
2.92322,13.0997,0.47302,0
2.99212,13.1557,0.799876,0
3.30769,13.1158,0.579454,0
3.50242,12.9556,0.136513,0
3.89002,13.3104,0.644701,0
4.07578,13.3422,0.996334,0
4.21294,13.3741,0.867082,0
4.32436,13.4306,0.882511,0
4.5846,13.6107,1.21358,0
4.87799,13.5355,0.975094,0
4.91913,13.8159,1.2014,0
4.92078,13.7816,0.692244,0
5.01944,14.1933,1.27832,0
5.19449,14.3095,1.15197,0
4.9494,14.6355,1.27876,0
4.9604,14.7331,0.862276,0
5.15925,14.9651,0.818587,0
4.86989,15.564,1.41919,0
5.13419,15.5459,0.914943,0
5.37177,15.741,1.51894,0
5.69836,15.6686,1.14514,0
6.10293,15.6138,0.668674,0
6.32866,15.6866,0.759262,0
6.10889,15.8622,0.785336,0
6.83187,15.8008,1.42602,0
6.95714,15.9603,1.653,0
7.17702,15.922,2.38056,0
7.2169,15.6397,0.994926,0
7.29894,15.7278,1.28412,0
7.47865,15.5928,1.39376,0
7.59891,15.4278,1.80566,0
7.7956,14.9878,2.382,0
7.77615,14.6746,2.38185,0
7.75691,14.2447,1.33254,0
6.47464,11.1255,3.30472,0
6.61395,10.776,3.30022,0
6.14077,10.0386,3.60276,0
5.94244,9.93405,3.28568,0
5.6442,9.91487,3.42347,0
5.32919,9.92113,3.34414,0
4.83565,10.0085,3.86668,0
4.80907,9.79299,3.49776,0
4.57502,9.76534,3.48271,0
4.3823,9.7964,1.36009,0
4.08946,9.81259,1.36291,0
3.82546,9.72364,1.51293,0
3.647,9.90406,1.29579,0
3.40256,9.80647,1.82356,0
3.1493,9.8322,1.76138,0
2.93442,9.8786,1.66175,0
2.68854,9.92486,1.77838,0
2.49638,10.1251,1.44474,0
2.28877,10.2534,1.20129,0
2.10721,10.3055,1.2515,0
1.9344,10.3247,1.56448,0
1.80095,10.408,1.62056,0
1.55422,10.5588,1.7716,0
1.56828,10.7154,1.52992,0
1.48209,11.0302,1.57315,0
1.62025,11.2748,0.920034,0
1.32452,11.051,0.562936,0
1.76158,11.838,1.04439,0
1.80598,12.0422,1.00733,0
1.85862,12.1766,0.648783,0
1.91369,12.4203,0.732897,0
2.13278,12.5693,0.530454,0
2.85839,13.8135,0.462363,0
2.5673,12.8555,-0.109564,0
3.1478,12.973,-0.616595,0
2.69006,13.3526,0.498575,0
3.66737,13.2385,-0.65974,0
2.69104,13.8968,1.21192,0
3.64904,13.6258,0.435712,0
3.16099,13.8402,1.1299,0
3.93829,13.7501,1.03914,0
4.10095,13.6364,0.693533,0
4.39625,13.6177,0.777323,0
4.54594,13.7019,0.846556,0
4.7124,13.7507,0.793652,0
4.95039,13.9857,1.03685,0
5.25603,14.0654,1.21975,0
5.52443,13.8873,0.917364,0
5.73437,13.8654,1.0985,0
6.45746,13.5399,0.730555,0
6.37531,13.5057,1.02908,0
6.58546,13.5063,1.01058,0
6.71037,13.6036,1.21095,0
6.98672,13.5409,1.31908,0
7.14393,13.55,1.18875,0
7.31049,13.8294,1.58134,0
6.90517,14.0375,0.493177,0
