x_val,y_val,z_val,tag
1.10797,12.7444,0.667553,5
1.22603,12.7751,0.64935,5
1.33711,12.5651,0.560746,5
1.51481,12.5037,0.471555,5
1.52743,12.6748,0.675843,5
1.75277,12.7176,0.386062,5
1.81909,12.7529,0.546099,5
1.93518,13.1045,0.860177,5
2.07347,12.8765,0.607935,5
2.22874,12.8726,0.514675,5
2.44855,12.9955,0.51983,5
2.52132,13.0478,0.736838,5
2.73928,13.0278,0.617819,5
2.8952,12.9194,0.309847,5
3.17109,13.1408,0.608102,5
3.32825,13.1892,0.877833,5
3.43853,13.2164,0.825694,5
3.52595,13.2572,0.829447,5
3.70906,13.3814,1.04908,5
3.92597,13.347,0.918415,5
3.98008,13.5284,1.05204,5
3.98787,13.5281,0.73154,5
4.05415,13.8007,1.0798,5
4.17824,13.9114,1.03931,5
4.03137,14.1409,1.11823,5
4.02046,14.2339,0.8523,5
4.15074,14.3991,0.790427,5
3.97533,14.8159,1.18035,5
4.12856,14.8556,0.894863,5
4.30482,14.9897,1.25932,5
4.54286,14.9584,1.05703,5
4.84017,14.9182,0.716556,5
5.02644,14.9615,0.734335,5
4.90404,15.083,0.753799,5
5.36747,15.0575,1.18033,5
5.50783,15.1599,1.38344,5
5.67077,15.1472,1.89024,5
5.71737,14.9588,1.03577,5
5.77745,14.9937,1.12134,5
5.90385,14.9087,1.20452,5
5.99913,14.7889,1.4875,5
6.14114,14.4828,1.90409,5
6.14586,14.2376,1.95561,5
6.13371,13.9226,1.26737,5
5.28336,11.8187,2.48764,5
5.27022,11.3267,2.63586,5
4.95535,10.7775,2.85451,5
4.78505,10.6403,2.6717,5
4.56651,10.6106,2.74026,5
4.3309,10.611,2.69624,5
3.97499,10.6689,3.0367,5
3.91329,10.5334,2.83467,5
3.75071,10.4984,2.79967,5
3.60298,10.5146,1.39019,5
3.39083,10.5273,1.21741,5
3.18978,10.47,1.29531,5
3.04673,10.5823,1.16122,5
2.86718,10.5316,1.49398,5
2.67728,10.5424,1.49405,5
2.51151,10.5744,1.42811,5
2.32819,10.609,1.49714,5
2.17827,10.7459,1.28484,5
2.02226,10.8477,1.09736,5
1.88274,10.8949,1.10737,5
1.75106,10.9134,1.3158,5
1.6464,10.9709,1.37875,5
1.4701,11.0778,1.48654,5
1.45756,11.1947,1.33991,5
1.39895,11.4176,1.35036,5
1.48314,11.6071,0.919298,5
1.29781,11.4825,0.629493,5
1.56417,11.988,0.912294,5
1.62657,12.1859,0.922804,5
1.66915,12.2993,0.686756,5
1.71088,12.4747,0.713189,5
1.86108,12.5951,0.582451,5
2.36004,13.4336,0.521175,5
2.22917,12.9034,0.134976,5
2.59723,12.9154,-0.248524,5
2.33983,13.1682,0.44218,5
2.95489,13.124,-0.239019,5
2.38479,13.5543,0.915577,5
2.94833,13.4283,0.544811,5
2.69508,13.5546,0.958413,5
3.17825,13.5105,0.949577,5
3.3458,13.4298,0.719698,5
3.56205,13.4075,0.74668,5
3.68794,13.4604,0.795855,5
3.81373,13.4993,0.766927,5
3.98686,13.6597,0.924333,5
4.21065,13.7323,1.06491,5
4.41605,13.6234,0.882162,5
4.58048,13.5954,0.979428,5
5.07953,13.3765,0.747904,5
5.08698,13.3267,0.916832,5
5.22702,13.3209,0.925518,5
5.32706,13.3846,1.05924,5
5.5224,13.351,1.14739,5
5.65068,13.3529,1.07203,5
5.77683,13.5381,1.32258,5
5.52414,13.6988,0.633285,5
5.88266,13.6658,1.21025,5
5.88856,13.8383,1.32231,5
