x_val,y_val,z_val,tag
1.10797,12.7444,0.667553,2
1.25227,12.782,0.645303,2
1.34603,12.5871,0.565237,2
1.47829,12.5238,0.494503,2
1.52237,12.6177,0.610163,2
1.68708,12.6741,0.45625,2
1.78746,12.72,0.513861,2
1.90735,12.9739,0.737734,2
2.04771,12.9043,0.640865,2
2.20501,12.8905,0.555152,2
2.41074,12.9701,0.530147,2
2.52865,13.0293,0.668788,2
2.72174,13.0364,0.628158,2
2.89334,12.9671,0.410466,2
3.14368,13.0973,0.545139,2
3.33757,13.1686,0.763249,2
3.48452,13.2143,0.79964,2
3.5989,13.2598,0.822447,2
3.76652,13.3612,0.982762,2
3.97211,13.371,0.943817,2
4.07976,13.5024,1.02963,2
4.12721,13.5438,0.835895,2
4.19263,13.7486,1.01767,2
4.30051,13.8903,1.03925,2
4.23612,14.0997,1.10617,2
4.21317,14.2348,0.946153,2
4.29345,14.3987,0.856928,2
4.19691,14.7416,1.09082,2
4.27499,14.8821,0.963419,2
4.41666,15.0315,1.18225,2
4.62634,15.0635,1.10755,2
4.9009,15.0525,0.858916,2
5.12244,15.0808,0.792177,2
5.1188,15.1728,0.775062,2
5.44533,15.1848,1.0584,2
5.6438,15.2624,1.2843,2
5.82967,15.2786,1.71247,2
5.9284,15.1576,1.26936,2
6.00845,15.1451,1.2084,2
6.12473,15.0783,1.23172,2
6.22975,14.9745,1.42876,2
6.36456,14.7298,1.77579,2
6.41421,14.4816,1.92624,2
6.42701,14.1788,1.5153,2
5.85064,12.6319,2.23207,2
5.66386,11.8023,2.54093,2
5.36811,11.1078,2.8122,2
5.14982,10.7591,2.78597,2
4.91978,10.5992,2.83712,2
4.67705,10.5326,2.82331,2
4.34778,10.5434,3.05446,2
4.19289,10.4503,2.98729,2
4.01949,10.3974,2.95133,2
3.85682,10.3885,1.97244,2
3.65336,10.392,1.54912,2
3.4453,10.3532,1.43359,2
3.27407,10.4182,1.28493,2
3.08886,10.4021,1.45996,2
2.89359,10.4068,1.50767,2
2.71138,10.4299,1.48315,2
2.52075,10.4609,1.52544,2
2.35086,10.5652,1.39237,2
2.18295,10.6687,1.22417,2
2.02772,10.7372,1.17399,2
1.88197,10.7757,1.29427,2
1.75819,10.8302,1.37189,2
1.59252,10.9222,1.4741,2
1.52705,11.0332,1.40876,2
1.45953,11.2242,1.40004,2
1.49294,11.4181,1.09985,2
1.37323,11.4006,0.807588,2
1.51965,11.7502,0.899309,2
1.60331,11.9945,0.922275,2
1.66349,12.1614,0.769522,2
1.71458,12.3445,0.741437,2
1.83617,12.4915,0.637382,2
2.21821,13.1199,0.561347,2
2.25182,12.9577,0.268812,2
2.52984,12.9407,-0.0881771,2
2.4427,13.1055,0.263065,2
2.84843,13.1253,-0.11025,2
2.58133,13.4326,0.57722,2
2.90024,13.4429,0.523156,2
2.81708,13.5447,0.814746,2
3.13377,13.5479,0.900032,2
3.34495,13.4977,0.780182,2
3.57057,13.4675,0.766223,2
3.73636,13.4926,0.791587,2
3.88382,13.5256,0.77858,2
4.05578,13.6466,0.883305,2
4.26908,13.7353,1.01173,2
4.4834,13.6929,0.930214,2
4.67164,13.6645,0.977058,2
5.08145,13.5045,0.830394,2
5.22192,13.4196,0.902253,2
5.37822,13.3831,0.925027,2
5.5027,13.4113,1.02584,2
